Strain,Drug,Species,RAD20,FoG20,RAD50,FoG50
yAG50,BA,C.albicans,16.5,0.165,14.75,0.135
yAG50,FLC,C.albicans,22.75,0.4925,19.5,0.6775
yAG52,BA,C.albicans,13,0.1925,11.25,0.14
yAG52,FLC,C.albicans,22.5,0.605,15.75,0.855
yAG53,BA,C.albicans,11.5,0.20750000000000002,10,0.16249999999999998
yAG53,FLC,C.albicans,21.5,0.5475,17.5,0.7749999999999999
yAG54,BA,C.albicans,18.25,0.155,16.875,0.13375
yAG54,FLC,C.albicans,5.5,NA,1.625,NA
yAG56,BA,C.albicans,13.5,0.22999999999999998,11,0.18000000000000002
yAG56,FLC,C.albicans,23.75,0.4825,20.25,0.6399999999999999
yAG60,BA,C.albicans,15.25,0.1925,13.25,0.125
yAG60,FLC,C.albicans,25,0.31499999999999995,22,0.375
yAG63,BA,C.albicans,11.75,0.23,9.5,0.1625
yAG63,FLC,C.albicans,22.5,0.5575,16.5,0.755
yAG64,BA,C.albicans,13,0.135,12,0.1075
yAG64,FLC,C.albicans,21.25,0.5175000000000001,18,0.665
yAG65,BA,C.albicans,14.5,0.16000000000000003,12.75,0.1075
yAG65,FLC,C.albicans,16.5,0.6174999999999999,12.75,0.825
yAG66,BA,C.albicans,17.75,0.20500000000000002,15.5,0.165
yAG66,FLC,C.albicans,12,0.6900000000000001,3.25,NA
yAG67,BA,C.albicans,16.25,0.18,14.5,0.14750000000000002
yAG67,FLC,C.albicans,18.5,0.605,12.25,0.7825
yAG68,BA,C.albicans,14.25,0.1575,13.25,0.14
yAG68,FLC,C.albicans,14,0.8925000000000001,0,NA
yAG69,BA,C.albicans,13.5,0.18,11.5,0.1025
yAG69,FLC,C.albicans,12.75,0.49250000000000005,11,0.7075
yAG70,BA,C.albicans,14.75,0.11750000000000001,14,0.11499999999999999
yAG70,FLC,C.albicans,13.75,0.5525,10.75,0.7949999999999999
yAG71,BA,C.albicans,16.25,0.25,14.5,0.26
yAG71,FLC,C.albicans,1,NA,1,NA
yAG72,BA,C.albicans,15,0.17,13.75,0.165
yAG72,FLC,C.albicans,12.25,NA,0.75,NA
yAG73,BA,C.albicans,16,0.155,14.75,0.15
yAG73,FLC,C.albicans,20.25,0.40249999999999997,17,0.4925
yAG74,BA,C.albicans,17,0.1375,15.75,0.11000000000000001
yAG74,FLC,C.albicans,17.25,0.6174999999999999,14.5,0.7949999999999999
yAG75,BA,C.albicans,12.5,0.2025,10.75,0.15
yAG75,FLC,C.albicans,22.25,0.495,17.75,0.6675
yAG76,BA,C.albicans,14.75,0.15000000000000002,13.25,0.12
yAG76,FLC,C.albicans,20,0.5475000000000001,15,0.7224999999999999
yAG77,BA,C.albicans,15.5,0.25,11.75,0.195
yAG77,FLC,C.albicans,16.5,0.545,13,0.6975
yAG78,BA,C.albicans,14.75,0.175,13.25,0.1575
yAG78,FLC,C.albicans,4,0.42,3.25,0.5249999999999999
yAG79,BA,C.albicans,15.25,0.2025,14.25,0.21499999999999997
yAG79,FLC,C.albicans,4.25,0.51,2.25,0.4
yAG8,BA,C.albicans,10.5,0.1575,9.5,0.1125
yAG8,FLC,C.albicans,24.75,0.4175,22,0.585
yAG80,BA,C.albicans,15.25,0.1675,13.75,0.13749999999999998
yAG80,FLC,C.albicans,10.5,NA,4.5,NA
yAG81,BA,C.albicans,14.25,0.1375,13,0.12250000000000001
yAG81,FLC,C.albicans,23,0.61,14.5,0.9
yAG82,BA,C.albicans,12,0.16,10.75,0.12250000000000001
yAG82,FLC,C.albicans,23,0.595,18.75,0.875
yAG83,BA,C.albicans,11.25,0.14500000000000002,10.25,0.12250000000000001
yAG83,FLC,C.albicans,7.25,0.7,2.75,0.77
yAG84,BA,C.albicans,13.25,0.16499999999999998,12,0.135
yAG84,FLC,C.albicans,16.5,0.6875,2,NA
yAG86,BA,C.albicans,15,0.1525,13.25,0.095
yAG86,FLC,C.albicans,13.5,0.6975,6,0.845
yAG87,BA,C.albicans,15.75,0.1475,14,0.0975
yAG87,FLC,C.albicans,17,0.6849999999999999,7.75,0.7825
yAG88,BA,C.albicans,15.75,0.18,14.25,0.15500000000000003
yAG88,FLC,C.albicans,11,0.6275,7.75,0.8025
yAG89,BA,C.albicans,14.75,0.19,13.5,0.185
yAG89,FLC,C.albicans,18.5,0.7150000000000001,7,0.7925
yAG90,BA,C.albicans,15.5,0.1925,13.75,0.18
yAG90,FLC,C.albicans,11.25,0.625,7.5,0.8400000000000001
yAG91,BA,C.albicans,15.25,0.1875,13.75,0.16499999999999998
yAG91,FLC,C.albicans,14.5,0.6900000000000001,7,0.7925
yAG93,BA,C.albicans,13.75,0.14500000000000002,12.25,0.10250000000000001
yAG93,FLC,C.albicans,5.25,0.5700000000000001,3.75,0.7050000000000001
yAG94,BA,C.albicans,16.25,0.21500000000000002,14.25,0.18
yAG94,FLC,C.albicans,6.75,0.685,2.25,0.8474999999999999
yAG95,BA,C.albicans,14.75,0.21250000000000002,13.25,0.21749999999999997
yAG95,FLC,C.albicans,7.75,0.72,2.5,NA
yAG96,BA,C.albicans,15.75,0.21000000000000002,14,0.1875
yAG96,FLC,C.albicans,5.75,0.6675,1.5,NA
yAG97,BA,C.albicans,17,0.225,15.5,0.23
yAG97,FLC,C.albicans,11.25,0.8225,1.75,NA
yAG98,BA,C.albicans,15.875,0.19375,13.75,0.14750000000000002
yAG98,FLC,C.albicans,22.5,0.5,19,0.67875
